tweet_id,user_id,hash_vector,mention_vector,like_count,retweet_count,time,pos_emotion,neg_emotion
1200975060619669509,9a3bbbdc2b517fc5596418b1e27f667a,HK|HuangXueqin|MeToo,enforced disappearance|journalist|metoo|residential surveillance at a designated location,84,76,2019-12-01T04:09:02,0.0,0.0
1204044843267346434,8d26ab9400d4027cdf6fc0dc39620eca,MeToo,metoo,7,3,2019-12-09T15:27:15,0.25,0.0
1204876316673282049,72752576131f65c09112c294437beb15,Weinstein|cosby|joke|metoo|mustbenice,metoo|rape,0,1,2019-12-11T22:31:14,0.5,0.75
1206698022828032000,15b6ea9de5935641259dd63715db1a40,1A|2A|KAG|MAGA|METOO|NRA|Obama|STUDENTLOANS|YANGGANG,metoo|nra|rollingstone,0,0,2019-12-16T23:10:02,0.0,0.25
1207754846893305856,5d52eae4a10a349954309952487315be,demandapology|metoo|sexualharassment,metoo,27,4,2019-12-19T21:09:29,0.25,0.25
1201561522968891392,435f914bb3e2444b5b035d6e4bc9efcc,feminism|metoo,feminism|metoo,0,0,2019-12-02T18:59:25,0.0,0.0
1201694735368196096,14918ea13de8bd9d3820380a6b787e75,MeToo,metoo,2,2,2019-12-03T03:48:45,0.0,0.0
1201963318660849665,4740685916570d4c89a2485322291f56,FakeCases|Justice|MeToo|MenToo|Police|Rape,d roopa|ips|metoo|miui|rape,1,3,2019-12-03T21:36:01,0.25,0.75
1202575850757120003,11088c87a6a8b1c2a61222d3eab82089,HF|MeToo|YA|pitmad,louisville|metoo,1,8,2019-12-05T14:10:00,0.5,0.75
1204455552945967106,2a0671ff80bd52654f1a47c4646d7977,CSA|MeToo|PTSD|Trauma,csa|metoo|ptsd|soul|voiceless,5,1,2019-12-10T18:39:16,0.25,0.75
1205819790071390208,34f1bf7e129cf65c53c8d9f643cc769f,1u|AARP|ArrestTrumpCrimeFamily|BLM|Environment|GenX|IMPEACH|Independents|Indigenous|LGBTQ|Latinx|MAGA|MeToo|Millenials|P2|TeaParty|VOTEBLUE|Veterans|marchforourlives,aarp|genx|impeach|independents|latinx|lgbtq|metoo,0,0,2019-12-14T13:00:15,0.0,0.75
1206840110643367936,54e2507741c317a7f3fef4363f19d722,BookClub|BookLovers|EverydaySexism|MeToo|MustRead|ReadIndie|TimesUp|books|feminism|feminist|women,bookclub|feminism|feminist|metoo|thriller,2,3,2019-12-17T08:34:39,0.75,0.25
1207100070740578304,ad5193e9aaf715852a8a0b9448f01b0b,metoo,metoo,34,6,2019-12-18T01:47:38,0.0,0.75
1207312253483044869,3148c9a0e039fb2ad71bc2c9b4af8532,Japan|MeToo|journalist,journalist|metoo movement|rape|shiori ito,0,0,2019-12-18T15:50:46,0.0,0.75
1207391977089597440,3f3bfae181f9c0222e674f4016a0aa26,FBA|FirstThem|MeToo,blog|fba|media bias|metoo|rape|sexual assault,195,89,2019-12-18T21:07:34,0.25,1.0
1208631190199996417,ebef0db1c39e3346deec2f761908a9c9,DemonicPOS|Eternity|MeToo,cnn|ktnv|metoo|potus|siriusxm,0,1,2019-12-22T07:11:45,0.0,0.5
1208850240159256583,0ef7df9ca8bb05ed393330f5f8c61488,FlipTheSenate|Kavanaugh|MeToo|Patriots|VoteBlue2020,metoo,36,33,2019-12-22T21:42:11,0.25,0.0
1201883882003582976,8761e903a67628246ec4a514a0c416fe,MeToo|sexualharassment,metoo|my boss|restaurant chain,5,2,2019-12-03T16:20:22,0.75,0.0
1201935852001210368,7840d883f0a052bcf4d45175d5b2ca0f,MeToo,every one of us|metoo,0,0,2019-12-03T19:46:52,0.25,0.0
1203687410120437765,e18ac9b8f4bc8be6640dc955a14aee11,MeToo,metoo movement|oprah winfrey|steve bannon,0,0,2019-12-08T15:46:56,0.0,0.75
1206175374805258241,0f52a18a751b82a7cb0dff5aee51e3a1,Feminism|MeToo,feminism|metoo,0,0,2019-12-15T12:33:13,0.0,0.0
1206733827294412800,ea4592f39636d87af8fb4b17b7e2e4c0,MeToo,bloomberg|metoo|mike bloomberg|nda,232,238,2019-12-17T01:32:19,0.0,0.5
1208759098386374656,76c516ce9c97bfbb66700efe16c40f86,MeToo|NikocadoAvocadoIsOverParty,metoo,567,136,2019-12-22T15:40:01,0.25,0.75
1210934064317906944,199e1cd9c927c61ea824f0102e33e216,Metoo,metoo,0,0,2019-12-28T15:42:33,0.0,0.0
1211180504327884802,c331fd4b46b1ddf2c7b0f43833976045,MeToo,defamation|metoo,2,4,2019-12-29T08:01:49,0.0,0.75
1204566949071642624,7d8634a80c26dd06df4a8301d5c6b222,MeToo,metoo|scout leader|sexually assaulted,525,142,2019-12-11T02:01:55,0.0,0.75
1207560109439635456,fb57c224b665db856dfb8620d9747d1d,MeToo|WeToo,japan|metoo,59,59,2019-12-19T08:15:40,0.25,0.0
1210341070174924804,2be0262e2d88cdef40b659e40f8d2c3f,kwanzaa2019|metoo,gail davis|karate|kwanzaa|la times|metoo,6,2,2019-12-27T00:26:12,0.25,0.75
1201495386277498881,c943da5c76c768a38a190140298205be,MeToo,metoo,1,1,2019-12-02T14:36:37,0.0,0.0
1203519203786969088,7e133998dc9dcdd9aff254745f4b92ef,MeToo|auspol|media|news|nzpol,metoo|news media,4,2,2019-12-08T04:38:33,0.0,0.75
1205563023064272896,13f25673b0b52ef0c9b545633134a286,METOO,metoo|metoo movement,11,3,2019-12-13T19:59:57,0.25,0.5
1205910953419792392,30e50232061b854dba4b9e5db9932f2f,MeToo,felony|metoo|thehill,0,1,2019-12-14T19:02:30,0.0,0.0
1206164343785771013,ccf7e84a88465c1bc6bb59ada0172418,metoo,john lennon|metoo,0,0,2019-12-15T11:49:23,0.25,0.0
1207415580170608640,2c109e651ace10ffca54b89818b3b9f1,MeToo,metoo movement|sexual predator,0,0,2019-12-18T22:41:21,0.0,0.5
1207744145156165633,57d23448b8909a3b46aa0f52c9453d2a,metoo,metoo,0,0,2019-12-19T20:26:57,0.0,0.0
1209154779378847744,8c48824386a45a6d2d30b86ba6e60018,MeToo|thelongrun,jane humphries|metoo,20,8,2019-12-23T17:52:19,0.25,0.0
1209353541518843904,7e0e2012287590a5312765fbd0d01f73,MeToo,baby it s cold outside|fathom|metoo|sexual assault,0,0,2019-12-24T07:02:07,0.25,0.75
1210764476032512000,0b0aab75dd0cc74591ee0d5dfea9e3c9,metoo,metoo,0,0,2019-12-28T04:28:40,0.5,0.0
1210966911980331009,85def0e63644d19f203bce7acc7f2589,CancelJaneyGodley|metoo,cunt,3,2,2019-12-28T17:53:05,0.0,0.5
1211759658102337536,0c4b8133cda74d4ba01b1946632a6c68,BoycottCyprus|IBelieveHer|MeToo,metoo|tweet,48,38,2019-12-30T22:23:10,0.25,0.0
1203384764817797120,5aadaabffe61f7c76df9c4c78df77573,BraveWrite|Poetry|amber|fickle|metoo|pixel|saturnine|tanka|velleity|vss365,barely breathing|entombed|metoo|pixel|silhouette,101,22,2019-12-07T19:44:20,0.5,0.5
1204416908662935552,d2fa5fdccb684452c89de23a1f0f7640,MeToo,metoo,0,0,2019-12-10T16:05:42,0.0,0.0
1204479617379094528,23dd014e83184ab4069ed29030c417ee,metoo,alyssa milano|hollywood|madonna|metoo movement,11,7,2019-12-10T20:14:53,0.0,0.5
1205785694586724353,ec1d6f54d4ec63f04c05a0be0e3499cb,ICANTKEEPQUIET|METOO,emotional abuse|metoo,0,0,2019-12-14T10:44:46,0.5,0.75
1206163065408016384,dd260eb204526df64469c07e6df9cf2e,metoo,metoo,6,2,2019-12-15T11:44:18,0.0,0.0
1207604388178456576,902e68cb4e532497261475e04ff0a1ab,MeToo,blowjob|metoo|predation,33,9,2019-12-19T11:11:37,0.0,1.0
1201282475231723522,38eeaf052948082c8ed619a2ab38556d,metoo,anachronism|metoo movement,7,1,2019-12-02T00:30:35,0.0,0.0
1205064806962737153,f49c7cde2a4518ed1c0851d89176f74d,MeToo,alyssa milano|andrew yang|metoo,0,0,2019-12-12T11:00:13,0.0,0.5
1207236563077218304,d9909de1d1db796fc2d25ae57cccec47,metoo,caa|metoo,0,0,2019-12-18T10:50:00,0.25,0.5
1207451344967274496,3d52c0c1824a0e990d24584bff69bbe1,metoo,alyssa milano|douche|metoo movement,0,0,2019-12-19T01:03:28,0.25,0.75
1209330078552743936,fdf3ab11ee794bc3e3854acef7dfaf30,MeToo|MondayBlogs|amwriting,metoo,1,1,2019-12-24T05:28:53,0.0,0.5
1211357390190317569,05809204f849d493b7e550fe09d8e7d3,MeToo|charity|istandwithplannedparenthood,metoo|pro choice|sta,1,1,2019-12-29T19:44:42,0.0,0.0
1211783730748112906,825d6d58d2b02388fd8cbffb1789ece2,MeToo,cyprus|metoo|rape,1,1,2019-12-30T23:58:49,0.0,0.75
1201969179936477184,aa386c474b32e412c5b8ef59b1f5f725,metoo,metoo|nice|social worker,0,0,2019-12-03T21:59:18,0.25,0.75
1203423588407070721,6fc0bddbb2a5378befac0efe40078692,metoo,metoo,0,0,2019-12-07T22:18:36,0.0,0.5
1203885929464770560,c68f93c2f6cc373bab94e8d8cb4bda13,MeToo|MenAreTrash,hashtag|metoo|snack|south africa,2,2,2019-12-09T04:55:47,0.25,0.25
1204775855425249280,3b99a0ca0957ffaa113fce2b7ab9d0a7,BillClinton|MeToo,metoo movement|potus|wcm,35,36,2019-12-11T15:52:02,0.0,0.0
1204799698864881664,fb7085eea43e379ba5efc29ca9c782d4,Cinderella|MeToo,cinderella|fairy godmother,398,118,2019-12-11T17:26:46,0.0,0.0
1205705041979547648,244979a80839f57b1e8f690efc1730e6,MeToo,harvey weinstein|i wonder why|metoo|predator,15,11,2019-12-14T05:24:17,0.25,0.5
